prompt,most_similar_concept,similarity_score,is_historical,detection_method,cluster,prompt_preview
"cilian murphy dressed as napoleon - bonaparte, baroque painting, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, boris vallejo",napoleon,0.5404878258705139,True,embedding,-1.0,"cilian murphy dressed as napoleon - bonaparte, baroque painting, intricate, elegant, highly detailed..."
napoleon bonaparte smoking weed in the sunset. digital art. ultra realistic. 4 k. trending on artstation,napoleon,0.5659459233283997,True,embedding,-1.0,napoleon bonaparte smoking weed in the sunset. digital art. ultra realistic. 4 k. trending on artsta...
a detailed painting of Napoleon Bonaparte standing in front of a huge white dragon by Jacques-Louis David,Bonaparte,0.5550475120544434,True,embedding,-1.0,a detailed painting of Napoleon Bonaparte standing in front of a huge white dragon by Jacques-Louis ...
"a realistic yet scraggly portrait sketch of the side profile of a stern and sophisticated napoleon dynamite, trending on artstation, intricate details, in the style of frank auerbach, in the style of sergio aragones, in the style of martin ansin, in the style of david aja, in the style of mattias adolfsson",napoleon,0.5944227576255798,True,embedding,-1.0,a realistic yet scraggly portrait sketch of the side profile of a stern and sophisticated napoleon d...
Habsburg empire,napoleonic,0.5298569202423096,True,embedding,-1.0,Habsburg empire
Joe Biden dressed as Napoleon dynamite,napoleon,0.507321834564209,True,embedding,-1.0,Joe Biden dressed as Napoleon dynamite
Napoleon looking his phone by Caravage,napoleon,0.5693092346191406,True,embedding,-1.0,Napoleon looking his phone by Caravage
photo of napoleon i < blouse >,napoleon,0.6925545930862427,True,embedding,-1.0,photo of napoleon i < blouse >
"drdisrespect as napoleon, wearing oakley sunglasses, breath taking, dignified, highly detailed painting by gaston bussiere, j. c. leyendecker, greg rutkowski, craig mullins, 8 k",napoleon,0.5926684737205505,True,embedding,-1.0,"drdisrespect as napoleon, wearing oakley sunglasses, breath taking, dignified, highly detailed paint..."
"Napoleon Crossing the Alps on a Harley Davidson , Salvador Dali style , oil painting",napoleon,0.5503078699111938,True,embedding,-1.0,"Napoleon Crossing the Alps on a Harley Davidson , Salvador Dali style , oil painting"
temeraire,napoleonic,0.5566524863243103,True,embedding,-1.0,temeraire
"battle of waterloo, foggy, misty, napoleonic wars, epic, conflict, cannon, jacques louis - david, french, british, belgian, neoclassical, highly detailed, artstation, 4 k ",napoleonic,0.5627343058586121,True,embedding,-1.0,"battle of waterloo, foggy, misty, napoleonic wars, epic, conflict, cannon, jacques louis - david, fr..."
